Word/Phrase,TF-IDF_Average,Primary_Sentiment,Sentiment_Coefficient,negative_coef,neutral_coef,positive_coef
super,0.00648362163678809,positive,1.5572233743289812,-0.916271115009339,-0.6409522593196378,1.5572233743289812
cup,0.006453030500531955,positive,-0.8334224361709134,0.8212952799121177,0.012127156258795915,-0.8334224361709134
customer service,0.006380670384562422,neutral,-0.7827216822103196,0.39520213730198545,-0.7827216822103196,0.387519544908333
fast,0.0063238716482918525,positive,2.692847364278751,-2.2700112403894472,-0.4228361238893061,2.692847364278751
and it,0.006282318292317673,positive,-0.24736458813891973,0.12429695346316999,0.12306763467575164,-0.24736458813891973
then,0.006252071003018424,positive,-1.1272820787668787,0.6684452808829506,0.458836797883924,-1.1272820787668787
for the,0.00621656814584049,neutral,0.5736009356357746,-0.31068747369928584,0.5736009356357746,-0.2629134619364891
after,0.006185809585555231,negative,0.9403902673706488,0.9403902673706488,-0.8404833245185491,-0.09990694285209849
starbucks is,0.006148574520555356,neutral,0.5044863825420607,-0.3781476564532855,0.5044863825420607,-0.1263387260887766
any,0.006124248165296503,negative,0.1956757017820371,0.1956757017820371,-0.15763421704082783,-0.03804148474120783
quick,0.006118772807281516,negative,-2.043829646835656,-2.043829646835656,0.1792346000268405,1.8645950468088206
go to,0.006099619614258122,negative,0.5585495972577625,0.5585495972577625,-0.07663835422761434,-0.48191124303014915
pretty,0.006096646128882454,negative,-1.6728725678362393,-1.6728725678362393,1.1297950408897117,0.5430775269465332
much,0.006052872485647624,neutral,1.1261978334978615,-0.6542239675797088,1.1261978334978615,-0.47197386591815293
didn,0.006021117819940811,positive,-0.7744592058338214,0.6589943176599492,0.11546488817387533,-0.7744592058338214
asked,0.006016937090306954,positive,-1.0957519434086715,0.8860259622460477,0.20972598116262858,-1.0957519434086715
still,0.006008485222316451,neutral,0.39183142843108004,-0.14179860774500042,0.39183142843108004,-0.25003282068608257
before,0.006008458639124967,positive,-0.5050083610895066,0.1266849817229993,0.3783233793665034,-0.5050083610895066
little,0.006001826648205048,negative,-1.1560272317866995,-1.1560272317866995,0.8926367045022985,0.26339052728440593
is always,0.005975574760520536,negative,-0.5239816894364263,-0.5239816894364263,0.052731682843917486,0.4712500065925088
customers,0.005971951173275818,negative,1.0931171966691269,1.0931171966691269,-0.1291346796680953,-0.9639825170010287
staff is,0.005967029462791091,negative,-0.4945841499841479,-0.4945841499841479,0.32637882811156643,0.16820532187257997
tea,0.005956080229591894,positive,0.20006891723201065,-0.04984863531420013,-0.15022028191780964,0.20006891723201065
drive through,0.005937737083234103,neutral,-0.6981004698977332,0.36112416362896627,-0.6981004698977332,0.33697630626876923
at this,0.005876538574987008,negative,-0.21378247856648824,-0.21378247856648824,0.19839775443349192,0.015384724132996038
this place,0.005875448779114901,negative,0.4569122175162378,0.4569122175162378,-0.20078110575177055,-0.2561311117644669
usually,0.005848705098897309,negative,-0.7345235052596281,-0.7345235052596281,0.7092145558170565,0.02530894944257174
while,0.0058311106188639605,negative,0.33100250119714897,0.33100250119714897,-0.2868078248855732,-0.04419467631157621
went,0.005824698411497547,neutral,0.3046902833361123,-0.05065772705539762,0.3046902833361123,-0.25403255628071497
around,0.005785546721443563,neutral,-0.2209392817605377,0.09404756597286089,-0.2209392817605377,0.12689171578767616
said,0.005780055086257258,positive,-0.9963487673825667,0.8568865968612361,0.13946217052133178,-0.9963487673825667
most,0.005743223547738813,neutral,0.5169149367006123,-0.37235070352102506,0.5169149367006123,-0.14456423317958428
our,0.005738985851379675,negative,-0.47797555875457526,-0.47797555875457526,0.006208318638606956,0.47176724011596755
better,0.005682441893767581,negative,0.6886419517000517,0.6886419517000517,-0.0758740367787245,-0.6127679149213259
experience,0.005642726952400784,neutral,-0.46960817640298486,0.12531259030278202,-0.46960817640298486,0.3442955861002024
one of,0.00562410372129141,negative,-0.6311687601408387,-0.6311687601408387,0.22912133780424662,0.40204742233658775
two,0.005593047737304966,positive,-0.527517107783906,0.3673101264788099,0.16020698130509692,-0.527517107783906
bad,0.005581342706265387,positive,-1.270746446199481,1.1476737995700566,0.12307264662943561,-1.270746446199481
they have,0.005547971392667958,negative,-0.9283054826065409,-0.9283054826065409,0.05985596484419702,0.8684495177623474
want,0.005539479128875166,positive,-0.26136778606639327,0.25366735308278837,0.007700432983605964,-0.26136778606639327
latte,0.0055190320635160614,negative,0.17955400983204453,0.17955400983204453,-0.011659397626019766,-0.16789461220602533
iced,0.005515728668285509,negative,0.315706591513398,0.315706591513398,-0.1087240144538177,-0.20698257705958015
wrong,0.005502417939215472,negative,1.5150268639256437,1.5150268639256437,-0.016575635831022745,-1.4984512280946225
orders,0.005468219743671126,positive,-0.686485391720073,0.04162135102493588,0.6448640406951399,-0.686485391720073
favorite,0.005453981985297547,positive,1.503124668267052,-0.9498681226537635,-0.553256545613282,1.503124668267052
need,0.005395496265626377,positive,-1.0222036120114377,0.18773614015607756,0.8344674718553581,-1.0222036120114377
today,0.005391544274662407,negative,0.4861179245830755,0.4861179245830755,-0.119539025745436,-0.3665788988376373
could,0.005339892079962831,positive,-0.5020349041816508,0.2908099064231058,0.21122499775854306,-0.5020349041816508
rude,0.005307163936842014,negative,2.9763984567253186,2.9763984567253186,-0.5352528851021104,-2.441145571623215
down,0.005268128757053581,negative,0.8211769071087593,0.8211769071087593,-0.50339250988431,-0.31778439722445423
starbucks in,0.005257804921508453,neutral,-0.7957651649442722,0.34403745458133456,-0.7957651649442722,0.4517277103629373
working,0.005246037611135713,positive,0.1418476566946506,-0.11404456450515463,-0.027803092189495806,0.1418476566946506
the best,0.005240948161746207,positive,1.7731305117513196,-1.5766972535904586,-0.19643325816086163,1.7731305117513196
off,0.005213044356845614,positive,-0.6296952451838946,0.4946607011036332,0.13503454408025908,-0.6296952451838946
now,0.00517967427032028,neutral,-0.30182782727295054,0.22387696816086838,-0.30182782727295054,0.07795085911208138
location is,0.005140046841174623,neutral,0.5286455198502117,-0.32575127829271966,0.5286455198502117,-0.2028942415574944
there is,0.005134859546258741,neutral,0.22364083451534938,-0.07559166290167367,0.22364083451534938,-0.14804917161367462
food,0.005112685257306849,positive,-0.258294614924035,0.1778551791517123,0.08043943577232292,-0.258294614924035
the service,0.0050699989005421895,neutral,0.9683077225169852,-0.3572414290279733,0.9683077225169852,-0.6110662934890144
sure,0.005022382982134579,positive,0.8456483544323187,-0.273706576717725,-0.571941777714592,0.8456483544323187
say,0.005020304438281954,negative,-0.24826238272665077,-0.24826238272665077,0.08774016135632291,0.1605222213703281
hot,0.005015412255198804,neutral,-0.44412962776121734,0.17409662904517031,-0.44412962776121734,0.2700329987160479
but the,0.004986853113254721,neutral,0.9241605046085032,-0.6679027942008706,0.9241605046085032,-0.25625771040763534
waiting,0.004985812919584313,negative,0.8487835803715985,0.8487835803715985,-0.2826855015256088,-0.566098078845984
10,0.004942575259919753,negative,0.5571124255986041,0.5571124255986041,-0.1568951745281444,-0.4002172510704605
being,0.004931674669003049,positive,-0.1643626211187619,0.15198878291028792,0.012373838208473792,-0.1643626211187619
worst,0.004928353190756977,negative,2.894917889100434,2.894917889100434,-0.9275606933427335,-1.9673571957576914
few,0.004892753323867391,negative,-0.8552823274591089,-0.8552823274591089,0.7135031506261216,0.1417791768329849
with the,0.004872949641419159,positive,-0.7528611957023023,0.23836969415073306,0.514491501551565,-0.7528611957023023
though,0.0048432958820820065,neutral,1.3096751713024664,-1.0763905392837654,1.3096751713024664,-0.23328463201869098
take,0.004838738721033502,positive,-0.3780182175353407,0.07847119704123752,0.29954702049410276,-0.3780182175353407
mobile,0.00479489554350102,neutral,0.3169412174965148,-0.08099355009492039,0.3169412174965148,-0.23594766740159487
been to,0.004794097788450329,positive,0.09198797701547738,-0.03948707741085611,-0.05250089960462137,0.09198797701547738
